date,open,high,low,close,vwap,volume,regime,tags,confidence,floor_pct,ceiling_pct,fwd_1d_return,fwd_3d_return,fwd_5d_return,fwd_5d_max_dd
2026-04-20,57.3,57.38,55.16,55.8,56.43,29266187.0,WEAK,below_vwap|high_volume|lower_highs|higher_lows|above_ma5,0.62,0.4,0.7,0.018,9.301,2.616,6.727
2026-04-21,55.52,56.15,53.42,55.81,54.82,20114756.0,TREND_UP,above_vwap|higher_lows|above_ma5,0.7,0.7,1.0,9.998,3.476,-3.584,12.347
2026-04-22,57.4,61.39,57.4,61.39,60.03,24899848.0,TREND_UP,above_vwap|higher_lows|above_ma5,0.7,0.7,1.0,-0.652,-6.727,-10.8,12.347
2026-04-23,61.37,61.95,57.81,60.99,60.05,27469040.0,TREND_UP,above_vwap|higher_lows|above_ma5,0.7,0.7,1.0,-5.312,-11.772,-9.707,11.772
2026-04-24,59.5,60.2,57.52,57.75,58.7,18010809.0,RANGE,below_vwap|higher_lows|above_ma5,0.5,0.45,0.85,-0.848,-5.177,-6.355,6.823
2026-04-27,57.8,59.67,56.9,57.26,58.09,15857818.0,WEAK,below_vwap|higher_lows|below_ma5,0.62,0.4,0.7,-6.025,-3.825,1.589,6.025
2026-04-28,56.02,56.02,52.93,53.81,54.32,17721967.0,WEAK,below_vwap|higher_lows|below_ma5,0.62,0.4,0.7,1.765,0.502,9.273,1.798
2026-04-29,52.9,55.9,52.9,54.76,54.44,14045429.0,RANGE,above_vwap|higher_lows|below_ma5,0.5,0.45,0.85,0.566,6.227,8.437,1.798
2026-04-30,54.75,56.14,54.75,55.07,55.46,9812039.0,WEAK,below_vwap|higher_lows|below_ma5,0.62,0.4,0.7,-1.798,6.773,7.917,1.798
2026-05-06,55.58,57.26,53.85,54.08,55.32,16734025.0,WEAK,below_vwap|higher_lows|below_ma5,0.62,0.4,0.7,7.563,9.8,-0.277,9.255
2026-05-07,53.7,59.49,53.39,58.17,57.84,27231752.0,REPAIR,above_vwap|high_volume|high_volatility|higher_lows|above_ma5,0.58,0.55,0.85,1.083,2.166,-12.756,14.605
2026-05-08,56.5,59.61,56.5,58.8,58.4,21928443.0,REPAIR,above_vwap|higher_lows|above_ma5,0.58,0.55,0.85,0.986,-8.282,-20.867,21.706
2026-05-11,59.24,59.6,56.6,59.38,58.58,19706622.0,REPAIR,above_vwap|higher_lows|above_ma5,0.58,0.55,0.85,0.084,-14.534,-22.937,23.002
2026-05-12,59.0,59.9,57.58,59.43,58.81,16847174.0,TREND_UP,above_vwap|higher_lows|above_ma5,0.7,0.7,1.0,-9.255,-21.706,-18.543,23.002
2026-05-13,58.74,58.74,53.49,53.93,55.47,31462981.0,WEAK,below_vwap|high_volume|higher_lows|below_ma5,0.62,0.4,0.7,-5.897,-15.149,-1.261,15.149
2026-05-14,52.3,53.21,50.71,50.75,51.7,19562804.0,BREAKDOWN,below_vwap|higher_lows|break_recent_low|below_ma5,0.68,0.4,0.55,-8.315,-4.611,3.606,9.833
2026-05-15,50.63,50.98,46.07,46.53,47.3,21999517.0,BREAKDOWN,below_vwap|near_dense_zone|higher_lows|break_recent_low|break_major_low|below_ma5,0.68,0.4,0.55,-1.655,14.442,7.071,6.441
2026-05-18,46.34,46.79,45.35,45.76,45.99,10774053.0,BREAKDOWN,below_vwap|rejected_dense_zone|break_recent_low|break_major_low|below_ma5,0.68,0.4,0.55,5.791,14.904,17.417,6.441
2026-05-19,44.8,48.63,43.87,48.41,45.82,16374094.0,REPAIR,above_vwap|accepted_dense_zone|below_ma5,0.58,0.55,0.85,9.998,2.913,9.502,6.441
2026-05-20,53.25,53.25,52.91,53.25,52.95,13522326.0,REPAIR,above_vwap|above_ma5,0.58,0.55,0.85,-1.258,0.901,-6.554,7.389
2026-05-21,55.81,56.99,52.52,52.58,55.06,37118961.0,WEAK,below_vwap|high_volume|lower_highs|above_ma5,0.62,0.4,0.7,-5.249,0.818,-5.002,7.389
2026-05-22,51.23,51.68,49.44,49.82,50.26,20049865.0,WEAK,below_vwap|near_dense_zone|lower_highs|above_ma5,0.62,0.4,0.7,7.848,-0.12,-3.533,10.553
2026-05-25,50.46,54.5,48.13,53.73,51.46,24895680.0,REPAIR,above_vwap|high_volatility|lower_highs|above_ma5,0.58,0.55,0.85,-1.34,-7.035,-14.815,14.815
2026-05-26,53.69,53.69,50.96,53.01,52.44,16864035.0,TREND_UP,above_vwap|lower_highs|above_ma5,0.62,0.7,1.0,-6.131,-9.338,-12.922,13.658
2026-05-27,54.38,54.5,49.5,49.76,51.59,16516109.0,WEAK,below_vwap|near_dense_zone|higher_lows|below_ma5,0.62,0.4,0.7,0.382,-8.018,-1.085,8.368
2026-05-28,48.77,50.77,48.2,49.95,49.54,12232400.0,REPAIR,above_vwap|accepted_dense_zone|higher_lows|below_ma5,0.58,0.55,0.85,-3.784,-7.588,-8.168,8.368
2026-05-29,50.3,51.5,47.66,48.06,49.51,12969200.0,WEAK,below_vwap|near_dense_zone|lower_highs|higher_lows|below_ma5,0.62,0.4,0.7,-4.765,2.414,-4.557,6.806
2026-06-01,47.96,48.78,45.74,45.77,46.88,9299800.0,BREAKDOWN,below_vwap|rejected_dense_zone|lower_highs|higher_lows|break_recent_low|below_ma5,0.68,0.4,0.55,0.852,0.218,0.218,6.806
2026-06-02,46.07,47.18,45.26,46.16,46.43,9728800.0,WEAK,below_vwap|near_dense_zone|lower_highs|higher_lows|below_ma5,0.62,0.4,0.7,6.629,-0.628,-0.628,6.806
2026-06-03,46.85,50.6,45.59,49.22,48.98,21017200.0,REPAIR,above_vwap|accepted_dense_zone|high_volume|lower_highs|above_ma5,0.58,0.55,0.85,-6.806,-6.806,-6.806,6.806
2026-06-04,48.0,48.95,45.62,45.87,46.57,16942500.0,WEAK,below_vwap|rejected_dense_zone|lower_highs|below_ma5,0.62,0.4,0.7,,,,
